"","rank","country","cost_of_living_index","rent_index","cost_of_living_plus_rent_index","groceries_index","restaurant_price_index","local_purchasing_power_index"
"1","6","Australia",77.75,36.84,58.57,77.44,77.75,104.63
"2","7","Austria",71.04,27.13,50.46,65.88,71.04,77.25
"3","9","Bahamas",84,35.34,61.19,70.59,84,45.07
"4","10","Bahrain",54.77,29.22,42.79,44.59,54.77,61.41
"5","12","Barbados",92.37,21.99,59.38,87.81,92.37,32.08
"6","14","Belgium",72.61,25.79,50.67,63.32,72.61,79.72
"7","15","Belize",51.3,11.64,32.71,48.76,51.3,45.73
"8","16","Bermuda",146.04,98.58,123.8,148.66,146.04,81.07
"9","24","Canada",70.22,34.33,53.4,70.01,70.22,87.98
"10","30","Cuba",55,15.23,36.36,47.93,55,1.45
"11","31","Cyprus",59.03,22.36,41.84,49.2,59.03,57.31
"12","33","Denmark",84.12,33.23,60.26,68.6,84.12,99.45
"13","38","Estonia",53.68,16.37,36.19,42.29,53.68,63.46
"14","41","Finland",73.2,25.95,51.05,65.16,73.2,91.02
"15","42","France",74.13,25.33,51.26,73.64,74.13,85.41
"16","44","Germany",65.58,27.62,47.78,52.31,65.58,103.08
"17","46","Greece",56.22,12.68,35.81,44.73,56.22,39.73
"18","48","Guernsey",83.59,54.02,69.73,76.76,83.59,71.57
"19","50","Hong Kong",80.71,74.57,77.83,84.72,80.71,65.74
"20","52","Iceland",94.86,41.93,70.05,90.22,94.86,77.06
"21","57","Ireland",76.05,42.08,60.13,62.1,76.05,82.27
"22","58","Israel",88.05,33.94,62.69,76.72,88.05,75.58
"23","59","Italy",66.47,20.55,44.95,57.95,66.47,61.74
"24","62","Japan",77.03,25.86,53.04,81.31,77.03,87.11
"25","63","Jersey",92.02,65.33,79.51,76.88,92.02,79.14
"26","70","Lebanon",69.62,24.81,48.61,66.83,69.62,35.12
"27","73","Luxembourg",80.5,60.09,70.93,74.75,80.5,98.84
"28","74","Macao",66.81,43,55.65,67.9,66.81,69.27
"29","76","Maldives",57.66,30.2,44.78,56.6,57.66,28.59
"30","77","Malta",67.84,29.72,49.97,59.59,67.84,44.18
"31","86","Netherlands",75.66,36.06,57.1,65.49,75.66,87.99
"32","87","New Zealand",74.52,34.44,55.73,72.04,74.52,83.63
"33","91","Norway",100.9,34.68,69.86,97.31,100.9,83.11
"34","94","Palestine",58.11,11.01,36.03,51.23,58.11,39.84
"35","95","Panama",51.43,21.75,37.51,52.16,51.43,33.09
"36","101","Puerto Rico",66.53,18.4,43.97,69.6,66.53,72.78
"37","102","Qatar",62.81,48.2,55.96,54.97,62.81,93.67
"38","106","Saudi Arabia",50.41,11.67,32.25,42.57,50.41,91.85
"39","107","Senegal",50.25,22.97,37.46,42.17,50.25,23.45
"40","109","Seychelles",65.93,32.35,50.19,61.55,65.93,19.43
"41","110","Singapore",83.98,66.43,75.75,77.08,83.98,91.34
"42","112","Slovenia",53.88,17.9,37.01,47.71,53.88,59.48
"43","115","South Korea",73.22,20.02,48.28,91.95,73.22,76.85
"44","116","Spain",53.88,21.25,38.58,45.69,53.88,70.04
"45","118","Suriname",51.78,9.71,32.06,45.92,51.78,13.44
"46","119","Sweden",71.74,25.86,50.23,65.78,71.74,98.14
"47","120","Switzerland",123.35,53.54,90.62,128.13,123.35,118.44
"48","122","Taiwan",62.35,17.69,41.42,76.19,62.35,58.35
"49","125","Trinidad And Tobago",54.88,15.97,36.64,53.96,54.88,38.47
"50","130","United Arab Emirates",58.33,43.28,51.28,46.67,58.33,92.17
"51","131","United Kingdom",69.65,31.84,51.93,56.58,69.65,88.78
"52","132","United States",70.13,42.07,56.98,70.37,70.13,106.34
"53","133","Uruguay",52.07,13.93,34.19,44.01,52.07,30.07
"54","137","Yemen",53.14,6.71,31.38,67.12,53.14,14.41
